Name	Description	Text Log	Enemy Usable	Enemy Text	Flags	
Charred Skin	Burn the first (Mut) Defends you play during combat.	hello	1	hello	(start)selfEffect: Charred Skin, Mut	
Frenzy	Take and deal double damage.	hello	1	hello	value: multiplier	
Volatile	"Every 4 turns, take and deal 5d(Mut) damage. Playing Defends delays this by 1 turn."	hello	1	hello	"(start)selfEffect: Volatile, 5 d Mut"	
Brain Worm	"""+2x(Mut) Max Mana, -(Mut) Max Health."""	hello	1	hello	"scale: Max Mana, 2"	"scale: Max Health, -1"
Shrinkage	"""+3x(Mut) Dexterity, -3x(Mut) Max Health."""	hello	1	hello	"scale: Dexterity, 3"	"scale: Max Health, -3"
Berserk	Fill your hand with Attacks for the first (Mut) turns of every combat.	hello	1	hello	"(start)selfEffect: Berserk, Mut"	
Muscle Mass	Damage dealt is instead stored and dealt every (Mut) turns. +(Mut) Strength.	hello	1	hello	"(start)selfEffect: Muscle Mass, 0"	
Brittle	"At the start of combat, gain 2 shield for 5 turns and lose (Mut)x3 health."	hello	1	hello	"(start)gainShield: 2, 5"	(start)takeIndirectDamage: Mut * 3
Sensitive	Your effects trigger twice each turn and expire twice as quickly.	hello	1	hello	value: multiplier	
Acid Mucus	Add a Sneeze to your deck.	hello	1	hello	addCard: Sneeze	
Addicted	"""+5 Intelligence. Playing a non-Spell causes 1 Intelligence loss for (Mut) turns."""	hello	1	hello	"statUp: Intelligence, 5"	"(trigger)gainStat: Intelligence, -1, Mut"
Mana Veins	Taking damage removes mana before removing health.	hello	0	N/A	N/A	
Brainless	"Instead of costing mana, Spells damage you equal to the cost."	hello	1	hello	N/A	
Scrambled	"Every 8-(Mut) turns, shuffle your deck."	hello	1	hello	(start)selfEffect: Scrambled	
Paranoia	Does nothing.	hello	1	hello	N/A	
