Name	Turns	G/B	Description	Flags				
Strength Up	0	Good	Strength is increased by (Val).	"gainStat: Strength, Val"				
Dexterity Up	0	Good	Dexterity is increased by (Val).	"gainStat: Dexterity, Val"				
Intelligence Up	0	Good	Intelligence is increased by (Val).	"gainStat: Intelligence, Val"				
Max Health Up	0	Good	Max Health is increased by (Val).	"gainStat: Max Health, Val"				
Max Mana Up	0	Good	Max Mana is increased by (Val).	"gainStat: Max Mana, Val"				
Strength Down	0	Bad	Strength is decreased by (-Val).	"gainStat: Strength, Val"	zero			
Dexterity Down	0	Bad	Dexterity is decreased by (-Val).	"gainStat: Dexterity, Val"	zero			
Intelligence Down	0	Bad	Intelligence is decreased by (-Val).	"gainStat: Intelligence, Val"	zero			
Max Health Down	0	Bad	Max Health is decreased by (-Val).	"gainStat: Max Health, Val"	zero			
Max Mana Down	0	Bad	Max Mana is decreased by (-Val).	"gainStat: Max Mana, Val"	zero			
								
Gain Health	0	Good	Gain (Val) health per turn.	gainHealth: Val				
Gain Mana	0	Good	Gain (Val) mana per turn.	gainMana: Val				
Gain Energy	0	Good	Gain (Val) energy per turn.	gainEnergy: Val				
Gain Extra Turns	0	Good	Gain (Val) extra turn(s) per turn.	gainExtraTurns: Val				
Gain Block	0	Good	Gain (Val) block per turn.	gainBlock: Val				
Gain Shield	0	Good	Gain (Val) shield per turn.	gainShield: Val				
Gain Distance	0	Good	Gain (Val) distance per turn.	useCard: GainDistance				
Lose Health	0	Bad	Lose (Val) health per turn.	takeIndirectDamage: Val				
Lose Energy	0	Bad	Lose (Val) energy per turn.	gainEnergy: -Val				
Take Damage	0	Bad	Take (Val) damage per turn.	takeDirectDamage: Val				
								
Extra Turns	-1	Good	(Val) more free turns.	priority 1				
Distance	-1	Good	Negate the next (Val) melee Attack cards from either combatant.	priority 2	(trigger)self: decrement			
Deflect	0	Good	The next (Val) cards are negated and forced back against the opponent.	priority 3	(trigger)self: decrement	stackable		
Phase	0	Good	"Damage taken is instead stored. When this effect ends, gain that much energy. Energy stored: (Val)"	priority 4	zero	(end)gainEnergy: Val		
Sense	0	Good	"Ignore the next card used by the opponent against the target. If triggered, the target gains (Dex) energy and mana."	priority 5	(trigger)useCard: Sense Energy	(trigger)self: remove		
Dodge	0	Good	"Ignore the next card used by the opponent against the target. If triggered, the target gains (Dex) energy."	priority 6	(trigger)useCard: Dodge Energy	(trigger)self: remove		
Evade	0	Good	"Ignore the next card used by the opponent against the target. If triggered, the target gains an extra turn."	priority 7	(trigger)useCard: Evade Turn	(trigger)self: remove		
Elude	0	Good	"Ignore any cards used by the opponent against the target. When this effect ends, gain (Dex) energy."	priority 8				
Persist	0	Good	Damage taken is halved.	priority 9				
